dm_id,kod_loc,nama_loc
21,981709020,JLN S/G 1/14
21,981709021,JLN S/G 1/15
21,981709022,JLN S/G 1/16
21,981709023,JLN S/G 1/17
21,981709024,JLN S/G 1/18
21,981709025,JLN S/G 1/19
21,981709028,JLN TIB 2/3
21,981709030,JLN TIB 2/6
21,981709031,JLN 3 BT CAVES CENTREPOINT
21,981709032,JLN TIB 2/8
21,981709033,JLN MAKMUR
21,981709035,JLN TIB 2/14
21,981709036,JLN TIB 2/12
21,981709037,JLN TIB 3
21,981709038,LRG ANGGERIK
21,981709039,LRG MELUR
21,981709040,LRG KIAMBANG
21,981709041,JLN PUSAT NIAGA
21,981709043,LRG MAWAR
21,981709701,POLIS
21,981709801,PEMILIH TAK HADIR
22,981710001,JLN SG 2/1 - 5
22,981710002,JLN SG 2/6 - 10
22,981710003,JLN SG 3/1 - 10
22,981710004,JLN SG 3/11 - 19
22,981710005,JLN SG 4/1 - 11
22,981710006,JLN SG 5/1 - 7
22,981710007,JLN SG 6/1 - 9
22,981710008,JLN SG 6/10 - 15
22,981710009,JLN SG 7/1 - 10
22,981710010,JLN SG 7/11 - 21
22,981710011,JLN LINTANG
22,981710012,JLN S/G  2/1
22,981710013,JLN S/G  2/2
22,981710014,JLN S/G  2/3
22,981710015,JLN S/G  2/4
22,981710016,JLN S/G  2/5
22,981710017,JLN S/G  2/6
22,981710018,JLN S/G  2/7
22,981710019,JLN S/G  2/8
22,981710020,JLN S/G  2/9
22,981710021,JLN S/G  2/10
22,981710026,JLN S/G  3/8
22,981710027,JLN S/G  3/12
22,981710028,JLN S/G  3/16
22,981710029,JLN S/G  4/1
22,981710030,JLN S/G  4/2
22,981710031,JLN S/G  4/3
22,981710032,JLN S/G  4/4
22,981710033,JLN S/G  4/5
22,981710034,JLN S/G  4/6
22,981710035,JLN S/G  4/7
22,981710036,JLN S/G  4/8
22,981710037,JLN S/G  4/9
22,981710038,JLN S/G  4/10
22,981710040,JLN S/G  5/1
22,981710041,JLN S/G  5/3
22,981710042,JLN S/G  5/4
22,981710043,JLN S/G  5/5
22,981710044,JLN S/G  5/6
22,981710045,JLN S/G  5/7
22,981710046,JLN S/G  5/2
22,981710047,JLN S/G 6/2
22,981710048,JLN S/G  6/3
22,981710049,JLN S/G  6/4
22,981710050,JLN S/G  6/5
22,981710051,JLN S/G  6/6
22,981710052,JLN S/G  6/7
22,981710053,JLN S/G  6/8
22,981710054,JLN S/G  6/9
22,981710055,JLN S/G  6/10
22,981710056,JLN S/G  6/11
22,981710057,JLN S/G  6/12
22,981710058,JLN S/G  6/14
22,981710059,JLN S/G  6/15
22,981710062,JLN S/G  7/3
22,981710063,JLN S/G  7/4
22,981710064,JLN S/G  7/5
22,981710065,JLN S/G  7/6
22,981710066,JLN S/G  7/7
22,981710067,JLN S/G  7/8
22,981710068,JLN S/G  7/9
22,981710069,JLN S/G  7/10
22,981710070,JLN S/G  7/11
22,981710071,JLN S/G  7/12
22,981710072,JLN S/G  7/14
22,981710073,JLN S/G  7/15
22,981710074,JLN S/G  7/16
22,981710075,JLN S/G  7/17
22,981710076,JLN S/G  7/18
22,981710077,JLN S/G  7/19
22,981710801,PEMILIH TIDAK HADIR
23,981711001,JLN 1 - 9 TMN BERJAYA
23,981711002,JLN 1 - 9 TMN GOMBAK
23,981711003,JLN 10 - 15 TMN GOMBAK
23,981711004,TMN GOMBAK TAMBAHAN
23,981711005,JLN SELASEH 1 - 9
23,981711006,JLN SELASEH 10 - 14
23,981711007,TMN GOMBAK RIA
23,981711008,KG SELASEH
23,981711009,TMN MELEWAR INDAH
23,981711011,JLN BERJAYA 1
23,981711012,JLN BERJAYA 2
23,981711013,JLN BERJAYA 3
23,981711014,JLN BERJAYA 4
23,981711015,JLN BERJAYA 5
23,981711016,JLN BERJAYA 6
23,981711017,JLN BERJAYA 9
23,981711018,JLN TMN GOMBAK
23,981711019,JLN 1 TMN GOMBAK
23,981711020,JLN 2 TMN GOMBAK
23,981711022,JLN 4 TMN GOMBAK
23,981711023,JLN 5 TMN GOMBAK
23,981711024,JLN 6 TMN GOMBAK
23,981711025,JLN 7 TMN GOMBAK
23,981711026,JLN 8 TMN GOMBAK
23,981711027,JLN 9 TMN GOMBAK
23,981711028,JLN 10 TMN GOMBAK
23,981711030,JLN 12 TMN GOMBAK
23,981711031,JLN 13 TMN GOMBAK
23,981711032,JLN 14 TMN GOMBAK
23,981711033,JLN 15 TMN GOMBAK
23,981711034,JLN SELASEH TMN SELASEH
23,981711035,JLN SELASEH 1
23,981711036,JLN SELASEH 2
23,981711037,JLN SELASEH 3
23,981711039,JLN SELASEH 5
23,981711040,JLN SELASEH 6
23,981711042,JLN SELASEH 8
23,981711044,JLN SELASEH 10
23,981711045,JLN SELASEH 11
23,981711046,JLN SELASEH 12
23,981711047,JLN SELASEH 13
23,981711048,JLN SELASEH 14
23,981711049,JLN GOMBAK RIA 1 TMN GOMBAK RIA
23,981711050,JLN GOMBAK RIA 2 TMN GOMBAK RIA
23,981711051,JLN GOMBAK RIA 2 A TMN GOMBAK RIA
23,981711052,JLN GOMBAK RIA 3 TMN GOMBAK RIA
23,981711054,JLN GOMBAK RIA 8 TMN GOMBAK RIA
23,981711056,"JLN CHANGKAT MULIA, TMN CHANGKAT"
23,981711801,PEMILIH TIDAK HADIR
24,981712001,JLN GOMBAK BT 9 / LDG KAM SENG
24,981712002,JLN GOMBAK BT 10 / KG SG SALAK
24,981712003,JLN PHG / JLN GOMBAK BT 12
24,981712004,JLN PHG / JLN GOMBAK BT 23
24,981712005,HOSPITAL O/ASLI
24,981712006,SG PUSU
24,981712007,DESA MOKMIN / MAKMUR
24,981712008,JHOA
24,981712009,KG O/ASLI BT 16 GOMBAK
24,981712010,KG O/ASLI BT 15 / KM 24 GOMBAK
24,981712011,KG O/ASLI SG RELANG
24,981712012,JLN SENTOSA 1 - 2
24,981712013,APT UIA GOMBAK
24,981712014,JALAN GOMBAK BATU 11
24,981712020,QRTS GURU SM TEKNIK
24,981712022,VILLA BESTARI
24,981712023,TMN PERMAI JAYA
24,981712024,TMN DESA GEMILANG
25,981713001,TAMAN KAMARIAH
25,981713002,BATU 5/6 JALAN GOMBAK
25,981713003,JLN GJ 1 - 7 TMN GOMBAK JAYA
25,981713004,R/PANGSA TMN GOMBAK JAYA
25,981713005,TAMAN CEMERLANG
25,981713006,TAMAN GOMBAK JAYA
25,981713007,JLN GJ 1 TMN GOMBAK JAYA
25,981713011,JLN GJ 7 TMN GOMBAK JAYA
25,981713012,BLOK MELOR TMN GOMBAK JAYA
26,981714001,TMN SRI GOMBAK
26,981714002,JLN SG 1/20 - 31
26,981714003,JLN SG 10/1 - 10
26,981714004,JLN SG 10/11 - 13
26,981714005,JLN S/G 1/20
26,981714006,JLN S/G  1/21
26,981714007,JLN S/G  1/22
26,981714008,JLN S/G  1/23
26,981714009,JLN S/G  1/24
26,981714010,JLN S/G  1/25
26,981714011,JLN S/G  1/26
26,981714012,JLN S/G  1/27
26,981714013,JLN S/G  1/28
26,981714015,JLN S/G  1/30
26,981714016,JLN S/G  1/31
26,981714017,JLN S/G  10/1
26,981714018,JLN S/G  10/2
26,981714020,JLN S/G  10/4
26,981714021,JLN S/G  10/5
26,981714022,JLN S/G  10/6
26,981714023,JLN S/G  10/7
26,981714024,JLN S/G  10/8
26,981714025,JLN S/G  10/9
26,981714026,JLN S/G  10/10
26,981714027,JLN S/G  10/11
26,981714028,JLN S/G  10/12
26,981714801,PEMILIH TIDAK HADIR
27,981715001,JLN SG 8/1 - 50
27,981715002,JLN MUHIBAH
27,981715003,TMN BKT PERMATA
27,981715004,JLN S/G  8/1
27,981715005,JLN S/G  8/2
27,981715006,JLN S/G  8/3
27,981715007,JLN S/G  8/4
27,981715008,JLN S/G  8/5
27,981715009,JLN S/G  8/6
27,981715010,JLN S/G  8/7
27,981715011,JLN S/G  8/8
27,981715012,JLN S/G  8/9
27,981715014,JLN S/G  8/11
27,981715015,JLN S/G  8/12
27,981715801,PEMILIH TIDAK HADIR
28,981801001,TMN MELAWATI / JLN BANDAR 1/ JLN BANDAR 1- JLN BAN
28,981801005,KG PAJAR
